id,titulo,showType,descricao,releaseYear,ageCertification,runtime,generos,productionCountries,temporadas,imdbId,imdbScore,imdbVotes,tmdbPopularity,tmdbScore
tm1019177,The Colony,MOVIE,"In the not-too-distant future: after a global catastrophe has wiped out nearly all of humanity on Earth, an elite astronaut from Space Colony Kepler must make a decision that will seal the fate of the people on both planets.",2021,R,104,"scifi,thriller,action","CH,DE",0,0,tt6506264,5,3,8495,0,23,7,5,6
tm1020073,Thunder Force,MOVIE,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.",2021,PG-13,107,"scifi,comedy,fantasy,action",US,0,0,tt10121392,4,4,41508,0,47,6,5,7
tm1020438,Spiderhead,MOVIE,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.",2022,R,106,"scifi,thriller,drama,action,crime",US,0,0,tt9783600,5,4,43239,0,996,9,5,8
tm1020851,Back to the Outback,MOVIE,"Tired of being locked in a reptile house where humans gawk at them like they're monsters, a group of Australia's deadliest creatures plot a daring escape from their zoo to the Outback.",2021,PG,95,"animation,comedy,family","AU,US",0,0,tt13575806,6,5,7896,0,155,0,7,8
tm1021871,The Starling,MOVIE,"After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity for love.",2021,PG-13,102,"comedy,drama,fantasy",US,0,0,tt5164438,6,3,12309,0,24,7,7,1
tm1022103,Outlaws,MOVIE,Introverted Girona student Nacho meets two delinquents from the city's Chinatown and gets caught up in a summer onslaught of burglaries and hold ups that will change his life.,2021,R,125,"crime,action,thriller",ES,0,0,tt11892272,6,9,3985,0,67,2,7,0
tm1022893,Dynasty Warriors,MOVIE,"In the turbulent late Eastern Han Dynasty. Ambitious Dong Zhuo controls the court and the commonalty, and heroes from all over the country begin to rise.",2021,PG-13,118,"action,fantasy","NZ,HK",0,0,tt7587604,4,7,2146,0,165,3,6,4
tm1022953,Who We Are: A Chronicle of Racism in America,MOVIE,"Jeffery Robinson's talk on the history of U.S. anti-Black racism, with archival footage and interviews.",2022,PG-13,117,documentation,US,0,0,tt14030682,6,2,715,0,3,7,4,7
tm102337,A Nightmare on Elm Street,MOVIE,"The film that brings back horror icon Freddy Krueger as a darker and more sinister character than ever before. While Freddy is on the prowl, a group of teenagers being stalked soon learn they all have a common factor making them targets for this twisted killer.",2010,R,95,"horror,thriller,crime,drama",US,0,0,tt1179056,5,2,99894,0,39,7,5,5
tm1027712,This Little Love of Mine,MOVIE,"Laura Price is a successful San Francisco lawyer on the cusp of promotion – a far cry from her childhood growing up on a tropical island with best friends Chip and Gem. When the firm’s biggest client – Chip’s grandfather – asks Laura to travel to the island and deliver a contract to make Chip his heir, she leaves behind her practice and fiancé Owen to convince her childhood friend to sign a contract that will make him a billionaire.",2021,G,91,"romance,comedy",AU,0,0,tt12546872,5,3,2514,0,13,0,6,2
tm1028298,He's All That,MOVIE,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",2021,R,91,"comedy,romance",US,0,0,tt4590256,4,3,24253,0,79,8,6,8
tm102848,Peepli Live,MOVIE,"Natha decides to commit suicide to get the farmers' compensation. However, the media and politicians learn about his intentions and descend on their village to capture the rare event.",2010,PG,104,"drama,comedy",IN,0,0,tt1447508,7,4,12309,0,3,4,7,3
tm1030283,Why Did You Kill Me?,MOVIE,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.,2021,R,83,"crime,documentation",US,0,0,tt14318430,5,6,4175,0,14,7,6,2
tm103095,Ip Man 2,MOVIE,"Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan.",2010,R,108,"drama,action,history,sport","HK,CN",0,0,tt1386932,7,5,104500,0,4,5,7,5
tm103133,Karthik Calling Karthik,MOVIE,"A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone.",2010,PG,135,"thriller,romance,drama",IN,0,0,tt1373156,7,1,12114,0,7,7,6,3
tm1033470,Till Death,MOVIE,"After a romantic evening at their secluded lake house, a woman wakes up handcuffed to her dead husband. Trapped and isolated in the dead of winter, she must fight off hired killers to escape her late spouse's twisted plan.",2021,R,89,"horror,thriller",US,0,0,tt11804152,5,8,20256,0,21,5,6,6
tm1033635,Sisters on Track,MOVIE,Three track star sisters face obstacles in life and in competition as they pursue Junior Olympic dreams in this extraordinary coming of age journey.,2021,PG,96,"documentation,sport",US,0,0,tt9337574,5,8,199,0,7,4,7,1
tm103732,Udaan,MOVIE,"Upon returning to his industrial hometown, a young man must decide whether to follow his own dreams or acquiesce to his father's plans for his future.",2010,R,138,drama,IN,0,0,tt1639426,8,1,44862,0,5,0,7,3
